Date,Open,High,Low,Close,Volume,Adj Close,,Adj Close 364 days ago,Diff with a year ago,Diff-percent
23/06/15,214.630005,214.910004,214.050003,214.460007,3273200,210.888131,24/06/14,189.9252,20.96293,0.110375
22/06/15,214.399994,215.070007,214.119995,214.369995,3093300,210.799619,23/06/14,191.07348,19.72614,0.103238
19/06/15,213.970001,214.020004,212.800003,212.850006,3268000,209.304945,20/06/14,191.03489,18.27006,0.095637
18/06/15,212.710007,214.759995,212.559998,214.119995,3004100,210.553782,19/06/14,190.678019,19.87576,0.104237
17/06/15,212.009995,212.720001,210.770004,211.990005,2363300,208.459268,18/06/14,190.52369,17.93558,0.094138
16/06/15,210.320007,211.75,210.130005,211.699997,4033700,208.17409,17/06/14,189.04796,19.12613,0.101171
15/06/15,209.970001,210.850006,209.190002,210.529999,2909200,207.023578,16/06/14,188.60427,18.41931,0.097661
12/06/15,212.080002,212.229996,211.100006,211.410004,4895200,207.888926,13/06/14,188.430661,19.45827,0.103265
11/06/15,212.929993,213.5,212.639999,213.029999,3438000,209.48194,12/06/14,187.823002,21.65894,0.115316
10/06/15,210.940002,212.820007,210.660004,212.309998,3308000,208.773931,11/06/14,189.211928,19.56200,0.103387
09/06/15,209.910004,210.470001,209.100006,209.820007,2582900,206.325412,10/06/14,189.819587,16.50583,0.086955
08/06/15,211.050003,211.199997,209.779999,209.889999,2830100,206.394238,09/06/14,189.858162,16.53608,0.087097
05/06/15,211.300003,211.979996,210.380005,211.190002,2672400,207.672589,06/06/14,189.645964,18.02663,0.095054
04/06/15,212.490005,213.190002,211.160004,211.660004,2924100,208.134763,05/06/14,188.691089,19.44367,0.103045
03/06/15,213.389999,214.100006,212.759995,213.380005,3367400,209.826117,04/06/14,187.446836,22.37928,0.119390
02/06/15,212.449997,213.600006,211.679993,212.779999,2791500,209.236104,03/06/14,187.109259,22.12685,0.118256
01/06/15,213.350006,213.770004,212.050003,212.949997,3516800,209.403271,02/06/14,187.224998,22.17827,0.118458
29/05/15,213.800003,213.860001,212.25,212.580002,3736000,209.039438,30/05/14,186.993506,22.04593,0.117897
28/05/15,213.770004,214.029999,213.050003,213.880005,2973800,210.317789,29/05/14,186.665569,23.65222,0.126709
27/05/15,212.699997,214.419998,212.279999,214.160004,2496300,210.593125,28/05/14,185.729973,24.86315,0.133867
26/05/15,213.839996,213.940002,211.630005,212.130005,3072600,208.596936,27/05/14,185.893941,22.70300,0.122129
22/05/15,214.470001,214.979996,214.350006,214.460007,1840900,210.888131,23/05/14,184.755803,26.13233,0.141443
21/05/15,214.169998,215.179993,213.949997,214.910004,1341300,211.330633,22/05/14,183.974535,27.35610,0.148695
20/05/15,214.589996,215.229996,213.949997,214.289993,1738000,210.720949,21/05/14,183.51155,27.20940,0.148271
19/05/15,214.699997,215,214.119995,214.5,1716100,210.927458,20/05/14,181.98759,28.93987,0.159021
18/05/15,213.699997,214.860001,213.619995,214.539993,3440000,210.966785,19/05/14,183.135384,27.83140,0.151972
15/05/15,213.889999,214.029999,213.300003,213.910004,3021800,210.347288,16/05/14,182.52774,27.81955,0.152413
14/05/15,212.699997,213.75,212.339996,213.690002,2633300,210.130951,15/05/14,181.862211,28.26874,0.155440
13/05/15,211.919998,212.639999,211.139999,211.429993,2720800,207.908582,14/05/14,183.444041,24.46454,0.133362
12/05/15,211,212.039993,210.020004,211.350006,3802700,207.829928,13/05/14,184.360342,23.46959,0.127303
11/05/15,213,213.300003,211.940002,212,4542300,208.469096,12/05/14,184.109569,24.35953,0.132310
08/05/15,212.279999,213.279999,212.220001,213.029999,5096900,209.48194,09/05/14,182.498805,26.98314,0.147854
07/05/15,209.309998,210.759995,208.919998,210.289993,5453200,206.78757,08/05/14,182.170854,24.61672,0.135130
06/05/15,210.940002,211.330002,208.149994,209.470001,3332900,205.981235,07/05/14,182.286607,23.69463,0.129986
